ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel),DB_Id,RealTitle,Pics,CateId,Qrcode,SupportedFuncs,Wireless,FactoryId,IsEncrypt,IsPrecise,BroadcastPrefix,BleName
8225,8225,YEHT005,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,YAI707S-004,https://image.zlmicro.com/images/product/20230308/20230308151902295.png,4,https://image.zlmicro.com/images/product/qrcode/8225.png,classic|music|shake|intera|finger|video|game|explore,2.4G,14,No,Estándar,77 62 4d 53 45,
8239,8239,AAYJ081,Femenino,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20260109/20260109112203894.jpg,8,https://image.zlmicro.com/images/product/20260109/202601091122081628239.png,classic|music|shake|intera|heating|finger|video|game,2.4G,402,No,0-255,77 62 4d 53 45,
8240,8240,BCTD005,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240111/20240111170140523.png,3,https://image.zlmicro.com/images/product/qrcode/8240.png,classic|music|shake|intera|finger|video|game|explore,2.4G,19,No,0-255,77 62 4d 53 45,
8215,8215,AAAA033,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,20宫格测试,,0,https://image.zlmicro.com/images/product/qrcode/8215.png,classic|music|shake|intera|finger|video|game|explore,2.4G,192,No,Estándar,77 62 4d 53 45,
8231,8231,AATD003,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,梦蝶,https://image.zlmicro.com/images/product/20250925/20250925171434779.jpg,3,https://image.zlmicro.com/images/product/20250925/202509251714392438231.png,classic|music|shake|intera|finger|video|game,2.4G,303,No,0-255,77 62 4d 53 45,
8221,8221,AATD608,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240725/20240725145840412.jpg,3,https://image.zlmicro.com/images/product/qrcode/8221.png,classic|music|shake|intera|finger|video|game|explore,2.4G,303,No,0-255,77 62 4d 53 45,
8218,8218,AATD099,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,G204,https://image.zlmicro.com/images/product/20220414/20220414100912546.png,3,https://image.zlmicro.com/images/product/qrcode/8218.png,classic|music|shake|intera|finger|voice|video|game|explore,2.4G,93,No,0-255,77 62 4d 53 45,
8219,8219,HEHT001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,YJ-013,https://image.zlmicro.com/images/product/20230609/20230609135709864.png,4,https://image.zlmicro.com/images/product/qrcode/8219.png,classic|music|shake|intera|finger|video|game|explore,2.4G,157,No,Estándar,77 62 4d 53 45,
8241,8241,AATD393,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,EW900,https://image.zlmicro.com/images/product/20230828/20230828115210211.png,3,https://image.zlmicro.com/images/product/qrcode/8241.png,classic|music|shake|intera|finger|video|game|explore,2.4G,143,No,0-255,77 62 4d 53 45,
8244,8244,ZASJ039,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240801/20240801092957141.png,10,https://image.zlmicro.com/images/product/qrcode/8244.png,classic|music|shake|intera|finger|video|game|explore,2.4G,20,No,0-255,77 62 4d 53 45,
